state,h_tract,w_tract,workers,flow_share,h_lat,h_lon,w_lat,w_lon,median_income,pop_total,nh_white,nh_black,hispanic,base_km,base_min,base_cameras,avoid_km,avoid_min,avoid_cameras,extra_km,extra_min,cameras_evaded
la,22017025406,22015011121,3,0.0000017885,32.5537685,-93.919066,32.6876982,-93.6783611,66236.0,4020.0,2913.0,569.0,275.0,41.0851,41.1807,5,54.9788,60.828,1,13.8937,19.6473,4
ok,40109108113,40083601000,5,0.0000035051,35.6454746,-97.4425489,35.8757371,-97.4121737,80382.0,5349.0,3961.0,112.0,662.0,29.0467,21.0959,1,29.1594,21.6344,0,0.1127,0.5385,1
al,01095030401,01103005101,8,0.0000044593,34.3133285,-86.542189,34.6106657,-87.0639758,57391.0,4882.0,4160.0,28.0,418.0,64.1851,57.7623,1,64.1851,57.7623,1,0.0,0.0,0
ri,44007001601,44007018000,1,0.0000026216,41.8138225,-71.4461747,42.0061599,-71.5105001,54620.0,3324.0,150.0,482.0,2384.0,26.8051,19.2188,2,27.4581,20.6944,0,0.653,1.4756,2
sd,46035962600,46083010110,21,0.0000629283,43.6644774,-98.1577026,43.4793545,-96.7815612,84583.0,2570.0,2388.0,0.0,107.0,135.0492,81.9149,1,135.3473,82.2685,0,0.2981,0.3536,1
ks,20177003301,20091980001,15,0.0000138270,39.1136667,-95.6341293,38.9379729,-94.7688275,80208.0,2842.0,2218.0,127.0,137.0,90.9422,70.4278,2,92.0108,75.1806,0,1.0686,4.7528,2
ma,25025101101,25025060601,2,0.0000006413,42.2848807,-71.0958793,42.3392514,-71.0489604,70655.0,4045.0,198.0,3059.0,688.0,7.9375,12.926,3,8.5027,14.0371,0,0.5652,1.1111,3
md,24003731206,24510260605,21,0.0000098598,39.0873767,-76.4791077,39.2583782,-76.5496645,157450.0,3824.0,3178.0,194.0,298.0,31.2175,34.447,4,31.6267,35.046,0,0.4092,0.599,4
ut,49035113523,49035114100,20,0.0000133999,40.6458597,-111.9770328,40.7223076,-111.8500682,92688.0,6016.0,3691.0,22.0,1952.0,19.4956,17.6741,5,20.7186,20.9599,0,1.223,3.2858,5
in,18071967800,18081610201,4,0.0000014687,38.9547334,-85.8880373,39.6256113,-86.0905704,49250.0,2270.0,1702.0,218.0,320.0,85.0146,58.0093,1,85.453,58.983,0,0.4384,0.9737,1
mn,27053026510,27053104802,12,0.0000048143,45.0424668,-93.4120418,44.9695244,-93.241219,82938.0,3732.0,2771.0,156.0,183.0,18.8113,22.3177,17,21.8093,23.9516,0,2.998,1.6339,17
sc,45019003000,45019000200,66,0.0000342149,32.7772471,-79.9726864,32.770791,-79.9282235,129412.0,3690.0,3428.0,2.0,67.0,5.3455,7.861,2,6.001,8.1742,0,0.6555,0.3132,2
mi,26149041302,26023951500,6,0.0000015812,41.9485032,-85.3522457,41.9496052,-85.0047329,56964.0,3392.0,3288.0,8.0,9.0,30.4798,26.1935,1,34.6123,30.4551,0,4.1325,4.2616,1
dc,11001004704,11001002001,1,0.0000050314,38.904566,-77.0114767,38.9597034,-77.0351061,-666666666.0,1226.0,95.0,1027.0,58.0,7.4334,11.2748,1,7.3806,11.3746,0,-0.0528,0.0998,1
la,22119031900,22015011118,23,0.0000137118,32.6123015,-93.2791994,32.5377111,-93.6455352,20887.0,2175.0,332.0,1783.0,0.0,37.0263,29.826,6,47.988,47.2625,0,10.9617,17.4365,6
ks,20091052606,20091050302,11,0.0000101398,39.0233363,-94.863498,39.0196418,-94.6549161,89674.0,2142.0,1826.0,66.0,180.0,20.8114,20.171,6,21.442,23.6163,0,0.6306,3.4453,6
wi,55097960800,55025010702,1,0.0000003958,44.5018095,-89.54525,42.9758435,-89.4597727,74866.0,5187.0,4606.0,211.0,198.0,184.8321,128.3544,4,185.5527,130.1524,0,0.7206,1.798,4
ut,49035113523,49035111601,55,0.0000368497,40.6458597,-111.9770328,40.6934606,-111.8953356,92688.0,6016.0,3691.0,22.0,1952.0,11.7469,12.5988,4,12.5658,16.154,0,0.8189,3.5552,4
nm,35001000122,35049010318,1,0.0000013955,35.1091892,-106.5598714,35.6331336,-106.011154,61307.0,4765.0,1997.0,25.0,2545.0,87.2869,56.2813,5,92.8099,73.6659,0,5.523,17.3846,5
sc,45045003013,45045001502,13,0.0000067393,34.6939613,-82.2629863,34.802851,-82.383791,91085.0,8494.0,5013.0,2320.0,769.0,21.8133,23.2625,2,21.0686,25.1409,0,-0.7447,1.8784,2
ut,49035104300,49035112825,28,0.0000187598,40.7258851,-111.8186977,40.5234884,-111.9037235,62393.0,2888.0,2373.0,10.0,307.0,31.077,23.5218,1,31.2804,24.252,0,0.2034,0.7302,1
de,10003016608,10003012000,33,0.0000979179,39.5094336,-75.6012906,39.7398744,-75.6279738,113051.0,7177.0,4475.0,1296.0,483.0,33.2461,30.1764,1,34.0922,30.7151,0,0.8461,0.5387,1
wi,55063000402,55063010102,18,0.0000071241,43.8181729,-91.2424776,43.9010438,-91.0706581,22860.0,3281.0,3052.0,8.0,42.0,20.4033,18.3253,3,21.6314,18.5373,0,1.2281,0.212,3
ri,44003020602,44007014200,40,0.0001048647,41.6961034,-71.5686558,41.7423306,-71.4624009,71207.0,3286.0,3004.0,9.0,143.0,13.4738,14.0191,1,13.4842,14.1771,0,0.0104,0.158,1
or,41047002202,41051980000,5,0.0000029750,44.8940869,-123.0673464,45.5616447,-122.7062012,92375.0,6938.0,5630.0,0.0,783.0,87.4801,68.1206,2,87.7865,70.6176,0,0.3064,2.497,2
ky,21111011301,21035010303,1,0.0000006207,38.1869312,-85.6844563,36.6270481,-88.3270977,65417.0,1992.0,553.0,1038.0,326.0,356.7662,230.7414,2,357.0996,236.0966,0,0.3334,5.3552,2
ct,09110430602,09110430400,60,0.0000425814,41.6078366,-72.8903781,41.5747297,-72.9119451,128750.0,3406.0,3124.0,90.0,103.0,7.701,10.4762,2,7.2184,12.6065,0,-0.4826,2.1303,2
ct,09130590102,09110520301,19,0.0000134841,41.4656248,-72.5826384,41.7175879,-72.5825665,111071.0,4487.0,3905.0,67.0,81.0,39.1965,38.4068,3,46.5292,38.2811,0,7.3327,-0.1257,3
nv,32031002613,32031001504,53,0.0000397102,39.7014961,-119.9688824,39.5442526,-119.8158529,97744.0,7698.0,5044.0,103.0,1831.0,26.8441,26.1464,2,28.8461,25.8166,0,2.002,-0.3298,2
mi,26149040900,26005031800,3,0.0000007906,42.0223584,-85.640315,42.4724649,-85.749717,74712.0,3960.0,3760.0,8.0,122.0,58.0043,41.6567,1,57.8278,46.8075,0,-0.1765,5.1508,1
ma,25025091900,25021417704,9,0.0000028858,42.3008408,-71.0755308,42.2560367,-71.0034097,58750.0,4662.0,230.0,1986.0,1895.0,8.5641,11.9293,2,8.8297,12.3843,0,0.2656,0.455,2
ks,20161001102,20061000602,3,0.0000027654,39.2112965,-96.6080119,39.0688459,-96.7834028,76071.0,2850.0,2260.0,167.0,199.0,25.617,23.4241,1,25.617,23.4241,1,0.0,0.0,0
sc,45035010809,45045001700,1,0.0000005184,32.9987425,-80.166297,34.89643,-82.3498565,76540.0,3460.0,2771.0,409.0,115.0,312.8085,193.4877,4,309.9511,200.8063,0,-2.8574,7.3186,4
nv,32019960108,32029970200,414,0.0003101893,39.5878888,-119.1606211,39.4383853,-119.5246462,100438.0,5152.0,3549.0,222.0,553.0,54.7321,94.4763,1,56.0771,93.0922,0,1.345,-1.3841,1
ma,25009223300,25017353200,2,0.0000006413,42.6725193,-70.8908183,42.3584986,-71.1057832,139239.0,5833.0,5481.0,0.0,36.0,46.1192,48.409,1,47.2264,50.7566,0,1.1072,2.3476,1
wi,55079005000,55079101100,6,0.0000023747,43.0766513,-87.9832762,42.994209,-88.0427675,49107.0,4804.0,981.0,3027.0,603.0,13.0523,15.2529,3,13.4582,16.5616,0,0.4059,1.3087,3
wy,56021000702,56037970800,1,0.0000050391,41.1308417,-104.8308121,41.6619799,-109.1693936,-666666666.0,1085.0,914.0,50.0,69.0,410.7793,254.9951,1,410.8647,255.4366,0,0.0854,0.4415,1
ri,44003020904,44003021100,54,0.0001415673,41.6418594,-71.47767,41.7424748,-71.4343102,166528.0,4198.0,3484.0,103.0,208.0,14.7808,16.13,2,14.2396,17.6948,0,-0.5412,1.5648,2
al,01079979900,01103000800,1,0.0000005574,34.4039525,-87.4562458,34.5819481,-86.994464,64821.0,1668.0,1463.0,24.0,5.0,56.1191,47.4921,1,56.376,49.4943,0,0.2569,2.0022,1
ms,28049010400,28049001400,21,0.0000215706,32.3471658,-90.3475693,32.33606,-90.128791,51045.0,4275.0,2803.0,1247.0,3.0,23.0977,26.649,4,24.1713,28.618,0,1.0736,1.9689,4
in,18163000600,18051050502,6,0.0000022030,37.9663666,-87.5357423,38.3520182,-87.5816469,82500.0,1972.0,1550.0,167.0,60.0,45.494,37.5345,6,50.4881,47.581,0,4.9941,10.0465,6
wi,55027961400,55131440105,21,0.0000083115,43.4231804,-88.5146226,43.3242892,-88.3266921,81435.0,4156.0,3886.0,0.0,197.0,26.8028,28.7083,2,24.1724,32.7593,0,-2.6304,4.051,2
de,10003013700,10003014502,33,0.0000979179,39.7036055,-75.7090339,39.6726478,-75.7439538,76707.0,4165.0,1757.0,949.0,1277.0,6.1063,7.4676,1,6.286,8.6071,0,0.1797,1.1395,1
in,18073101300,18181958300,109,0.0000400214,40.8300031,-87.1592004,40.7123255,-86.9951507,71896.0,3505.0,3147.0,156.0,89.0,24.1741,26.9105,1,24.3455,33.5095,0,0.1714,6.599,1
ma,25005640500,25005640100,37,0.0000118637,41.6938306,-71.1735838,41.6693128,-71.1666686,42051.0,5010.0,3535.0,276.0,931.0,3.7467,4.9324,1,3.7006,5.0833,0,-0.0461,0.1509,1
ok,40131050603,40143007654,1,0.0000007010,36.2352204,-95.6179703,36.010086,-95.9132646,96094.0,2299.0,1758.0,13.0,0.0,46.3245,37.6846,1,46.7357,37.5801,0,0.4112,-0.1045,1
wi,55021970200,55025011201,26,0.0000102904,43.5518849,-89.2988825,43.1771139,-89.3745549,74792.0,5442.0,5138.0,16.0,160.0,47.7316,43.5409,2,47.4414,46.1543,0,-0.2902,2.6134,2
ks,20091053509,20209042900,11,0.0000101398,38.8468979,-94.7988265,39.1151391,-94.6357201,107139.0,6382.0,4393.0,520.0,803.0,36.4484,32.2484,6,37.0557,33.1867,0,0.6073,0.9383,6
in,18097310204,18057111007,14,0.0000051404,39.8755524,-86.2213286,39.9673513,-86.1209632,74659.0,5170.0,760.0,3212.0,835.0,17.8288,20.3169,2,19.0189,22.354,0,1.1901,2.0371,2
ma,25021457100,25025110301,1,0.0000003206,42.1324607,-71.054013,42.2868052,-71.1132775,125000.0,4730.0,3194.0,986.0,125.0,22.4162,25.3079,3,23.2902,27.5761,1,0.874,2.2682,2
in,18179040100,18003011605,82,0.0000301079,40.869136,-85.1475767,41.0269932,-85.2541415,65170.0,5841.0,5550.0,33.0,148.0,26.5126,26.4603,1,29.3297,32.2763,0,2.8171,5.816,1
de,10003014906,10003014812,13,0.0000385737,39.6404141,-75.6710354,39.5926539,-75.7664986,54961.0,5314.0,842.0,3064.0,702.0,14.2617,14.8027,2,14.0916,16.3835,1,-0.1701,1.5808,1
mi,26081012604,26163582000,2,0.0000005271,42.8723714,-85.5788732,42.1923498,-83.1863315,108875.0,7241.0,4778.0,1264.0,412.0,244.5999,164.2434,25,242.7416,188.107,0,-1.8583,23.8636,25
ia,19113010400,19113010700,48,0.0000378978,42.0378253,-91.4164753,41.8984825,-91.6849568,91406.0,2867.0,2758.0,6.0,29.0,36.85,36.306,6,39.9886,32.6827,0,3.1386,-3.6233,6
nh,33011001000,33011011102,30,0.0000572657,42.9748588,-71.3994194,42.7127653,-71.4435737,95685.0,6314.0,5635.0,4.0,33.0,41.9221,35.9693,1,40.9959,39.0131,0,-0.9262,3.0438,1
ia,19113001700,19061001205,2,0.0000015791,41.984905,-91.6422853,42.5031465,-90.733141,93563.0,6891.0,4666.0,1167.0,518.0,112.0824,85.0373,6,116.4467,85.3618,0,4.3643,0.3245,6
ia,19193003600,19093090300,5,0.0000039477,42.4185,-96.3931032,42.3450348,-95.4916178,36237.0,3460.0,1390.0,886.0,601.0,89.2074,80.1595,3,92.2143,84.8054,0,3.0069,4.6459,3
nm,35001000111,35023970200,1,0.0000013955,35.119806,-106.5065439,32.3407178,-108.7052411,99500.0,3182.0,1779.0,47.0,1124.0,466.1132,333.7253,6,467.5122,339.8174,0,1.399,6.0921,6
ms,28033070524,28033070521,19,0.0000195162,34.9804428,-89.9190537,34.9868992,-89.9879225,76182.0,2906.0,1831.0,863.0,70.0,8.4857,9.0263,2,9.1058,10.8291,0,0.6201,1.8027,2
ia,19125030202,19179960100,10,0.0000078954,41.3943801,-92.9034267,41.1060797,-92.4027009,78065.0,3163.0,2927.0,52.0,92.0,63.599,42.2817,1,61.3711,51.9469,0,-2.2279,9.6652,1
la,22033004402,22033004504,19,0.0000113271,30.5526984,-90.9937046,30.4517243,-91.0048605,101017.0,6799.0,5597.0,543.0,143.0,15.8527,16.9149,1,16.1899,17.9138,0,0.3372,0.9989,1
wi,55015020306,55087010100,101,0.0000399742,44.1906286,-88.3236295,44.2647422,-88.4062243,102526.0,6918.0,6604.0,45.0,32.0,13.3982,14.1175,1,13.3888,14.4417,0,-0.0094,0.3242,1
