month,state,mapped_alpr
2024-04,vt,0
2024-04,wa,3
2024-04,wi,0
2024-04,wv,0
2024-04,wy,0
2024-05,ak,0
2024-05,al,1
2024-05,ar,2
2024-05,az,0
2024-05,ca,78
2024-05,co,0
2024-05,ct,0
2024-05,dc,0
2024-05,de,0
2024-05,fl,54
2024-05,ga,27
2024-05,hi,0
2024-05,ia,0
2024-05,id,0
2024-05,il,369
2024-05,in,6
2024-05,ks,39
2024-05,ky,1
2024-05,la,0
2024-05,ma,77
2024-05,md,2
2024-05,me,2
2024-05,mi,62
2024-05,mn,1
2024-05,mo,1
2024-05,ms,0
2024-05,mt,0
2024-05,nc,2
2024-05,nd,0
2024-05,ne,0
2024-05,nh,20
2024-05,nj,12
2024-05,nm,2
2024-05,nv,0
2024-05,ny,61
2024-05,oh,265
2024-05,ok,97
2024-05,or,0
2024-05,pa,28
2024-05,ri,0
2024-05,sc,0
2024-05,sd,0
2024-05,tn,0
2024-05,tx,85
2024-05,ut,0
2024-05,va,3
2024-05,vt,0
2024-05,wa,3
2024-05,wi,0
2024-05,wv,0
2024-05,wy,0
2024-06,ak,0
2024-06,al,1
2024-06,ar,2
2024-06,az,0
2024-06,ca,104
2024-06,co,0
2024-06,ct,0
2024-06,dc,0
2024-06,de,0
2024-06,fl,54
2024-06,ga,28
2024-06,hi,0
2024-06,ia,0
2024-06,id,0
2024-06,il,366
2024-06,in,6
2024-06,ks,39
2024-06,ky,1
2024-06,la,0
2024-06,ma,77
2024-06,md,2
2024-06,me,2
2024-06,mi,67
2024-06,mn,1
2024-06,mo,1
2024-06,ms,0
2024-06,mt,0
2024-06,nc,2
2024-06,nd,0
2024-06,ne,0
2024-06,nh,20
2024-06,nj,12
2024-06,nm,2
2024-06,nv,0
2024-06,ny,61
2024-06,oh,273
2024-06,ok,107
2024-06,or,0
2024-06,pa,28
2024-06,ri,0
2024-06,sc,0
2024-06,sd,0
2024-06,tn,0
2024-06,tx,85
2024-06,ut,0
2024-06,va,18
2024-06,vt,0
2024-06,wa,3
2024-06,wi,0
2024-06,wv,0
2024-06,wy,0
2024-07,ak,0
2024-07,al,1
2024-07,ar,2
2024-07,az,0
2024-07,ca,113
2024-07,co,0
2024-07,ct,0
2024-07,dc,0
2024-07,de,0
2024-07,fl,54
2024-07,ga,28
2024-07,hi,0
2024-07,ia,0
2024-07,id,0
2024-07,il,368
2024-07,in,6
2024-07,ks,39
2024-07,ky,1
2024-07,la,0
2024-07,ma,77
2024-07,md,2
2024-07,me,2
2024-07,mi,77
2024-07,mn,1
2024-07,mo,1
2024-07,ms,0
2024-07,mt,0
2024-07,nc,2
2024-07,nd,0
2024-07,ne,0
2024-07,nh,20
2024-07,nj,12
2024-07,nm,2
2024-07,nv,0
2024-07,ny,61
2024-07,oh,287
2024-07,ok,109
2024-07,or,0
2024-07,pa,28
2024-07,ri,0
2024-07,sc,0
2024-07,sd,0
2024-07,tn,0
2024-07,tx,85
2024-07,ut,0
2024-07,va,19
2024-07,vt,0
2024-07,wa,3
2024-07,wi,0
2024-07,wv,0
2024-07,wy,0
2024-08,ak,0
2024-08,al,1
2024-08,ar,2
2024-08,az,0
2024-08,ca,139
2024-08,co,0
2024-08,ct,0
2024-08,dc,0
2024-08,de,0
2024-08,fl,54
2024-08,ga,28
2024-08,hi,0
2024-08,ia,0
2024-08,id,0
2024-08,il,372
2024-08,in,6
2024-08,ks,39
2024-08,ky,1
2024-08,la,0
2024-08,ma,77
2024-08,md,2
2024-08,me,2
2024-08,mi,80
2024-08,mn,1
2024-08,mo,1
2024-08,ms,0
2024-08,mt,0
2024-08,nc,2
2024-08,nd,0
2024-08,ne,0
2024-08,nh,20
2024-08,nj,12
2024-08,nm,2
2024-08,nv,0
2024-08,ny,61
2024-08,oh,287
2024-08,ok,114
2024-08,or,0
2024-08,pa,28
2024-08,ri,0
2024-08,sc,0
2024-08,sd,0
2024-08,tn,0
2024-08,tx,90
2024-08,ut,0
2024-08,va,19
2024-08,vt,0
2024-08,wa,3
2024-08,wi,0
2024-08,wv,0
