state,h_tract,w_tract,workers,flow_share,h_lat,h_lon,w_lat,w_lon,median_income,pop_total,nh_white,nh_black,hispanic,base_km,base_min,base_cameras,avoid_km,avoid_min,avoid_cameras,extra_km,extra_min,cameras_evaded
nc,37051002100,37017950401,3,0.0000007126,35.0714297,-78.9369374,34.6304635,-78.631086,44516.0,4130.0,1904.0,1259.0,512.0,66.6377,56.4714,0,66.6377,56.4714,0,0.0,0.0,0
il,17031081800,17031320102,325,0.0000614182,41.8933243,-87.6391895,41.8851249,-87.6241944,164091.0,12213.0,8918.0,249.0,1441.0,2.412,2.582,0,2.412,2.582,0,0.0,0.0,0
pa,42101024700,42091205503,11,0.0000021323,40.0417034,-75.1645311,39.9862277,-75.2697399,40714.0,4291.0,181.0,3943.0,82.0,13.3985,17.791,1,13.4995,18.7492,0,0.101,0.9582,1
pa,42093050300,42109070100,23,0.0000044584,40.9616757,-76.6120395,40.8564299,-76.8545884,58910.0,4265.0,3718.0,175.0,128.0,27.2369,26.1899,0,27.2369,26.1899,0,0.0,0.0,0
tx,48015760202,48473680100,55,0.0000044477,29.7486954,-96.0961661,29.8126957,-95.871461,81250.0,4006.0,2506.0,138.0,1283.0,28.8,24.7613,1,27.7845,26.9826,0,-1.0155,2.2213,1
va,51087201001,51085321100,38,0.0000115234,37.5771564,-77.3770932,37.6128585,-77.3821706,86974.0,6587.0,726.0,5619.0,128.0,6.2225,8.8951,1,6.2225,8.8951,1,0.0,0.0,0
mo,29510118100,29510118600,54,0.0000225767,38.6235565,-90.2538984,38.6318226,-90.2506578,66094.0,1190.0,582.0,368.0,83.0,1.187,1.5976,0,1.187,1.5976,0,0.0,0.0,0
tx,48141010409,48141004005,56,0.0000045285,31.6607877,-106.2851405,31.6702953,-106.318615,57350.0,6335.0,262.0,0.0,6058.0,5.305,7.1669,0,5.305,7.1669,0,0.0,0.0,0
il,17043843800,17043841704,5,0.0000009449,41.8842492,-87.9680775,41.8939402,-88.1241665,108045.0,3381.0,2864.0,68.0,271.0,14.5219,17.0041,7,17.1067,23.6446,0,2.5848,6.6405,7
ny,36047042100,36061009600,31,0.0000038306,40.6970292,-73.9240384,40.7563748,-73.9808861,97250.0,4421.0,1206.0,382.0,2448.0,10.9463,13.4499,3,11.0629,14.9504,2,0.1166,1.5005,1
az,04013103605,04013216816,81,0.0000281462,33.6166417,-112.0797986,33.6115564,-111.9073884,138611.0,5786.0,4731.0,257.0,317.0,20.1987,20.3759,3,21.665,23.099,0,1.4664,2.7231,3
co,08059010405,08031001301,2,0.0000007874,39.7974819,-105.0833343,39.7048065,-105.0186498,78011.0,2785.0,1983.0,0.0,575.0,16.374,16.2703,6,16.0616,19.7161,0,-0.3124,3.4458,6
fl,12001001517,12001001802,8,0.0000009091,29.6134864,-82.3662197,29.7936621,-82.4093261,44880.0,5726.0,2061.0,1089.0,939.0,23.3062,27.5922,9,29.5165,38.3731,1,6.2103,10.7809,8
nc,37069060100,37063002200,14,0.0000033257,36.2051863,-78.261764,35.9994119,-78.9017906,51975.0,5095.0,2939.0,1667.0,371.0,73.5061,65.9002,5,75.9951,67.1288,0,2.489,1.2286,5
ca,06037189201,06037601303,1,0.0000000594,34.1035829,-118.2961605,33.9741892,-118.3617818,67974.0,2908.0,1836.0,45.0,748.0,19.0029,20.9236,0,19.0029,20.9236,0,0.0,0.0,0
fl,12103026001,12057005101,10,0.0000011364,27.977396,-82.8108526,27.948492,-82.4568348,89531.0,2789.0,2624.0,35.0,51.0,38.8974,35.5849,9,48.1612,41.6109,1,9.2637,6.026,8
tx,48089750300,48089750500,130,0.0000105127,29.6226197,-96.7027351,29.6687182,-96.5485581,70189.0,5336.0,3222.0,514.0,1600.0,26.9834,29.8922,0,26.9834,29.8922,0,0.0,0.0,0
tn,47119010301,47089070300,1,0.0000003637,35.6692966,-86.9250008,36.1445715,-83.4918959,85337.0,8103.0,6522.0,966.0,260.0,367.9119,291.2651,17,393.1866,265.6621,0,25.2747,-25.6029,17
mo,29183311311,29510124200,4,0.0000016723,38.7821372,-90.6135523,38.5988105,-90.2284247,92381.0,6157.0,4877.0,324.0,218.0,45.4456,42.1514,10,54.0909,58.2895,0,8.6454,16.1381,10
co,08005082400,08005082700,3,0.0000011811,39.6736798,-104.7991215,39.6915301,-104.7851,63250.0,4543.0,1497.0,446.0,2257.0,3.0586,3.8885,1,3.058,4.5915,0,-0.0006,0.703,1
il,17031150200,17043846102,3,0.0000005669,41.9606747,-87.7524131,41.8055375,-88.1071007,91038.0,7263.0,3904.0,175.0,2204.0,41.6763,41.0318,18,46.8332,44.6449,0,5.1568,3.6131,18
il,17031150501,17063000600,1,0.0000001890,41.9644762,-87.7819639,41.1909671,-88.4640243,122434.0,3854.0,2209.0,11.0,937.0,123.7357,98.5616,29,136.5605,115.797,1,12.8248,17.2354,28
co,08031003603,08001009204,3,0.0000011811,39.7565108,-104.9502093,39.8781134,-104.9677999,100694.0,3501.0,1717.0,822.0,443.0,17.8238,16.6107,0,17.8238,16.6107,0,0.0,0.0,0
oh,39061008201,39061022302,17,0.0000035103,39.2037837,-84.5448792,39.28236,-84.3497092,51960.0,4191.0,1247.0,2601.0,89.0,24.9854,24.1843,8,24.7541,28.1099,0,-0.2312,3.9256,8
pa,42017101809,42087961102,2,0.0000003877,40.2568255,-75.1475457,40.649367,-77.5531131,112875.0,3753.0,3083.0,173.0,3.0,273.3301,183.8082,1,271.4333,191.2493,0,-1.8968,7.4411,1
nc,37147001301,37147000605,287,0.0000681764,35.525093,-77.4206351,35.614224,-77.4135325,74357.0,3743.0,2071.0,1415.0,157.0,11.6818,12.4491,0,11.6818,12.4491,0,0.0,0.0,0
va,51683910202,51153900503,3,0.0000009097,38.7758396,-77.4800866,38.6447685,-77.2801936,120496.0,6463.0,1843.0,725.0,3347.0,28.5747,28.2328,1,29.0089,28.5842,0,0.4342,0.3514,1
wa,53057950900,53057951600,56,0.0000175710,48.600289,-122.1713085,48.5108524,-122.3163599,93000.0,4903.0,3771.0,96.0,539.0,30.1035,81.0809,2,30.5825,82.0604,0,0.4791,0.9796,2
nc,37181960400,37081010702,1,0.0000002375,36.319355,-78.4360393,36.0690352,-79.8063793,60164.0,4184.0,2150.0,1580.0,287.0,145.0006,98.8807,1,144.9321,99.5661,0,-0.0685,0.6854,1
pa,42099030601,42067070300,31,0.0000060091,40.3820959,-77.3278243,40.5758175,-77.271639,72857.0,4791.0,4726.0,16.0,24.0,40.8351,43.8766,0,40.8351,43.8766,0,0.0,0.0,0
tx,48231961200,48113001602,2,0.0000001617,33.106992,-96.085059,32.7946955,-96.7883796,74581.0,6024.0,4478.0,622.0,763.0,80.7871,52.4869,3,80.8225,54.7073,0,0.0354,2.2204,3
fl,12011020309,12011050100,16,0.0000018182,26.283191,-80.2081262,26.2026,-80.1418269,92946.0,6118.0,2938.0,966.0,1601.0,16.4994,16.4556,3,17.646,18.0056,0,1.1466,1.55,3
