state,h_tract,w_tract,base_r30,base_r45,base_r60,base_r90,avoid_r30,avoid_r45,avoid_r60,avoid_r90
az,04013109102,04013319906,2,2,2,2,0,0,0,0
az,04013109300,04013105002,3,3,3,3,0,0,0,2
az,04013109300,04013109603,0,0,0,0,0,0,0,0
az,04013109300,04013114302,0,0,0,0,0,0,0,0
az,04013109401,04013216842,3,3,3,3,0,0,0,0
az,04013109402,04013092600,0,0,0,0,0,0,0,0
az,04013109500,04013112512,0,0,0,0,0,0,0,0
az,04013109601,04013116204,0,0,0,0,0,0,0,0
az,04013109602,04013616600,2,2,2,3,0,0,0,1
az,04013109603,04013116204,0,0,0,0,0,0,0,0
az,04013109604,04013030402,3,3,3,4,0,0,0,1
az,04013109702,04013110501,2,2,2,2,0,0,0,0
az,04013109703,04013114100,0,0,0,0,0,0,0,0
az,04013109801,04013105004,8,8,8,8,0,0,0,0
az,04013109801,04013106900,0,0,0,0,0,0,0,0
az,04013109801,04013812400,0,0,0,0,0,0,0,0
az,04013109900,04021002005,2,2,2,2,0,0,0,0
az,04013110001,04013319705,0,0,0,0,0,0,0,0
az,04013110002,04013421304,3,4,4,4,0,0,0,0
az,04013110002,04013421601,8,9,9,9,0,0,0,0
az,04013110400,04013061300,2,1,1,2,0,0,0,0
az,04013110400,04013114000,0,0,0,0,0,0,0,0
az,04013110400,04013941300,3,3,3,3,0,0,0,0
az,04013110502,04013113100,0,0,0,0,0,0,0,0
az,04013110502,04013116712,0,0,0,0,0,0,0,0
az,04013110701,04013113800,0,0,0,0,0,0,0,0
az,04013110801,04013113301,0,0,0,0,0,0,0,0
az,04013110801,04013117200,1,1,1,1,0,0,0,0
az,04013110802,04013108301,0,0,0,0,0,0,0,0
az,04013110901,04013117100,0,0,0,0,0,0,0,0
az,04013111100,04013114000,0,0,0,0,0,0,0,0
az,04013111100,04013114100,0,0,0,0,0,0,0,0
az,04013111201,04013071801,4,5,5,5,0,0,0,0
az,04013111202,04013216816,6,7,7,7,0,0,0,0
az,04013111203,04013050701,7,7,8,8,0,0,0,0
az,04013111203,04013116203,0,0,0,0,0,0,0,0
az,04013111300,04013216816,6,7,7,7,0,0,0,0
az,04013111300,04013217600,1,1,1,1,0,0,0,0
az,04013111300,04013319705,0,0,0,0,0,0,0,0
az,04013111501,04013113800,0,0,0,0,0,0,0,0
az,04013111602,04013216845,1,2,2,2,0,0,0,0
az,04013111900,04013422226,0,0,0,0,0,0,0,0
az,04013112302,04013092900,1,1,1,1,0,0,0,0
az,04013112401,04013422307,0,0,0,0,0,0,0,0
az,04013112402,04013112401,0,0,0,0,0,0,0,0
az,04013112507,04013612301,0,0,0,0,0,0,0,0
az,04013112514,04013114000,0,0,0,0,0,0,0,0
az,04013112514,04013319403,0,0,0,0,0,0,0,0
az,04013112515,04013112524,0,0,0,0,0,0,0,0
az,04013112515,04013114000,0,0,0,0,0,0,0,0
az,04013112516,04013112523,0,0,0,0,0,0,0,0
az,04013112520,04013082017,0,0,0,0,0,0,0,0
az,04013112520,04013110501,0,0,0,0,0,0,0,0
az,04013112521,04013083000,2,2,1,1,0,0,0,1
az,04013112522,04013112514,0,0,0,0,0,0,0,0
az,04013112524,04013104501,0,0,0,0,0,0,0,0
az,04013112524,04013114100,0,0,0,0,0,0,0,0
az,04013112700,04013112510,0,0,0,0,0,0,0,0
az,04013112700,04013114301,0,0,0,0,0,0,0,0
az,04013113000,04013113100,0,0,0,0,0,0,0,0
az,04013113000,04013614700,0,0,0,0,0,0,0,0
az,04013113100,04013108802,0,0,0,0,0,0,0,0
az,04013113100,04013422401,0,0,0,0,0,0,0,0
az,04013113201,04013113100,0,0,0,0,0,0,0,0
az,04013113201,04013617900,1,3,3,4,0,0,0,1
az,04013113204,04005000700,2,2,2,2,2,2,2,2
az,04013113503,04013217201,2,2,2,2,0,0,0,0
az,04013113601,04013110501,0,0,0,0,0,0,0,0
az,04013113602,04013318400,0,0,0,0,0,0,0,0
az,04013114000,04013114302,0,0,0,0,0,0,0,0
az,04013114000,04013114800,0,0,0,0,0,0,0,0
az,04013114900,04013115400,0,0,0,0,0,0,0,0
az,04013115200,04013614700,0,0,0,0,0,0,0,0
az,04013115400,04013217700,2,2,3,3,0,0,0,0
az,04013115600,04013115200,0,0,0,0,0,0,0,0
az,04013115700,04013113204,0,0,0,0,0,0,0,0
az,04013115900,04013216816,2,2,2,2,0,0,0,0
az,04013116000,04013050611,1,1,1,1,0,0,0,0
az,04013116000,04013082017,0,0,0,0,0,0,0,0
az,04013116000,04013319710,4,4,4,4,0,0,0,0
az,04013116000,04013319910,1,1,1,1,0,0,0,0
az,04013116000,04013422103,2,2,2,2,0,0,0,1
az,04013116202,04013105102,0,0,0,0,0,0,0,0
az,04013116400,04013116800,0,0,0,0,0,0,0,0
az,04013116500,04013116719,1,1,1,1,0,0,0,1
az,04013116500,04013319710,4,4,4,4,0,0,0,0
az,04013116605,04013112512,0,0,0,0,0,0,0,0
az,04013116606,04013113800,0,0,0,0,0,0,0,0
az,04013116610,04013216809,6,8,8,7,0,0,0,1
az,04013116610,04013812400,0,0,0,0,0,0,0,0
az,04013116611,04013811200,0,0,0,0,0,0,0,0
az,04013116612,04013114100,0,0,0,0,0,0,0,0
az,04013116614,04013103609,0,0,0,0,0,0,0,0
az,04013116615,04013812400,1,1,1,1,0,0,0,1
az,04013116616,04013319403,1,1,1,1,0,0,0,0
az,04013116617,04013104401,1,1,1,1,0,0,0,0
az,04013116617,04013113301,0,0,0,0,0,0,0,0
az,04013116617,04013116737,0,0,0,0,0,0,0,0
az,04013116617,04013420113,5,7,7,7,0,0,0,4
az,04013116619,04013320100,0,0,0,0,0,0,0,0
az,04013116621,04013810400,2,2,2,2,0,0,0,1
az,04013116703,04013320100,0,0,0,0,0,0,0,0
az,04013116708,04013217300,4,5,5,4,0,0,0,0
az,04013116710,04013111900,0,0,0,0,0,0,0,0
az,04013116710,04013319910,1,1,1,1,0,0,0,0
az,04013116712,04013092311,1,2,2,2,0,0,0,0
az,04013116712,04013319710,1,1,1,1,0,0,0,0
az,04013116718,04013082002,0,0,0,0,0,0,0,0
az,04013116718,04013319710,1,1,1,1,0,0,0,0
az,04013116719,04013117100,0,0,0,0,0,0,0,0
az,04013116719,04013216821,5,8,8,7,0,0,0,0
az,04013116719,04013614602,0,0,0,0,0,0,0,0
az,04013116720,04013114100,0,0,0,0,0,0,0,0
az,04013116720,04013612301,0,0,1,1,0,0,0,0
az,04013116725,04013103219,9,11,11,10,0,0,0,0
az,04013116725,04013320001,0,0,0,0,0,0,0,0
az,04013116727,04013111800,0,0,0,0,0,0,0,0
az,04013116729,04013422647,6,7,7,7,0,0,0,0
az,04013116730,04019004043,10,14,18,20,2,2,2,7
az,04013116732,04013216816,2,2,2,2,0,0,0,0
az,04013116738,04013113800,0,0,0,0,0,0,0,0
az,04013116738,04013319001,4,5,5,4,1,1,1,1
az,04013116900,04013092600,0,0,0,0,0,0,0,0
az,04013116900,04013421002,2,3,3,3,0,0,0,0
az,04013117100,04013617800,3,4,4,4,0,0,0,1
az,04013117200,04013116800,0,0,0,0,0,0,0,0
az,04013117300,04013116738,0,0,0,0,0,0,0,0
az,04013216806,04013217300,3,4,4,4,0,0,0,2
az,04013216806,04013421201,1,1,1,1,0,0,0,0
az,04013216813,04013103614,2,4,4,4,0,0,0,0
az,04013216819,04013110501,4,7,7,7,0,0,0,0
az,04013216819,04013110502,4,7,7,7,0,0,0,0
az,04013216820,04013422633,6,8,9,9,0,0,0,1
az,04013216821,04013103219,3,6,6,6,0,0,0,2
az,04013216826,04013216850,0,0,0,0,0,0,0,0
az,04013216830,04013217300,4,5,5,5,0,0,0,0
az,04013216831,04013107500,0,3,3,3,0,0,0,0
az,04013216832,04013612301,0,1,1,1,0,0,0,0
az,04013216833,04005002202,1,2,2,2,1,1,1,1
az,04013216833,04013216816,1,2,2,2,0,0,0,0
az,04013216838,04013216810,0,0,0,0,0,0,0,0
az,04013216839,04013216816,2,2,2,2,0,0,0,0
az,04013216839,04013319401,0,1,1,1,0,0,0,0
az,04013216841,04013216860,1,2,2,2,0,0,0,0
az,04013216842,04013614700,0,0,1,1,0,0,0,0
az,04013216850,04013103219,2,5,5,5,0,0,0,1
